| Time       | Ticker | Frequency   | Amplitude |
|------------|--------|---------|--------|
| 10:00:00 | GANL | 0.00 | 0.00 |
| 10:00:01 | PYJT | 0.00 | 0.00 |
| 10:00:02 | HRJC | 0.00 | 0.00 |
| 10:00:03 | AEAY | 0.00 | 0.00 |
| 10:00:04 | ERAL | 0.00 | 0.00 |
| 10:00:05 | SHMQ | 0.00 | 0.00 |
| 10:00:06 | XDHB | 0.00 | 0.00 |
| 10:00:07 | FOLA | 0.00 | 0.00 |
| 10:00:08 | RNRQ | 0.00 | 0.00 |
| 10:00:09 | SCLC | 0.00 | 0.00 |
| 10:00:10 | NYXK | 0.00 | 0.00 |
| 10:00:11 | FEOQ | 0.00 | 0.00 |
| 10:00:12 | FYTD | 0.00 | 0.00 |
| 10:00:13 | KDPB | 0.00 | 0.00 |
| 10:00:14 | CCHX | 0.00 | 0.00 |
| 10:00:15 | EYQV | 0.00 | 0.00 |
| 10:00:16 | XSHC | 0.00 | 0.00 |
| 10:00:17 | KXHW | 0.00 | 0.00 |
| 10:00:18 | NTAU | 0.00 | 0.00 |
| 10:00:19 | FBIQ | 0.00 | 0.00 |
| 10:00:20 | IIZI | 0.00 | 0.00 |
| 10:00:21 | KEDR | 0.00 | 0.00 |
| 10:00:22 | SUPB | 0.00 | 0.00 |
| 10:00:23 | NAMF | 0.00 | 0.00 |
| 10:00:24 | YHQE | 0.00 | 0.00 |
| 10:00:25 | MROM | 0.00 | 0.00 |
| 10:00:26 | JWOV | 0.00 | 0.00 |
| 10:00:27 | VIQY | 0.00 | 0.00 |
| 10:00:28 | BUUF | 0.00 | 0.00 |
| 10:00:29 | BWVS | 0.00 | 0.00 |
| 10:00:30 | ITFQ | 0.00 | 0.00 |
| 10:00:31 | PWVJ | 0.00 | 0.00 |
| 10:00:32 | NTRG | 0.00 | 0.00 |
| 10:00:33 | ZOPN | 0.00 | 0.00 |
| 10:00:34 | DSTN | 0.00 | 0.00 |
| 10:00:35 | NGMS | 0.00 | 0.00 |
| 10:00:36 | WUKG | 0.00 | 0.00 |
| 10:00:37 | CPGT | 0.00 | 0.00 |
| 10:00:38 | LOTG | 0.00 | 0.00 |
| 10:00:39 | ESFL | 0.00 | 0.00 |
| 10:00:40 | WZIN | 0.00 | 0.00 |
| 10:00:41 | GBGC | 0.00 | 0.00 |
| 10:00:42 | WNNE | 0.00 | 0.00 |
| 10:00:43 | ARNW | 0.00 | 0.00 |
| 10:00:44 | TODB | 0.00 | 0.00 |
| 10:00:45 | IKAX | 0.00 | 0.00 |
| 10:00:46 | TQII | 0.00 | 0.00 |
| 10:00:47 | IIOF | 0.00 | 0.00 |
| 10:00:48 | VKTT | 0.00 | 0.00 |
| 10:00:49 | LNJR | 0.00 | 0.00 |
| 10:00:50 | LWMG | 0.00 | 0.00 |
| 10:00:51 | RUDG | 0.00 | 0.00 |
| 10:00:52 | QFWZ | 0.00 | 0.00 |
| 10:00:53 | KOIQ | 0.00 | 0.00 |
| 10:00:54 | VQAE | 0.00 | 0.00 |
| 10:00:55 | OUVV | 0.00 | 0.00 |
| 10:00:56 | KRYF | 0.00 | 0.00 |
| 10:00:57 | CGSG | 0.00 | 0.00 |
| 10:00:58 | URUG | 0.00 | 0.00 |
| 10:00:59 | BFRH | 0.00 | 0.00 |
| 10:01:00 | JRFA | 0.00 | 0.00 |
| 10:01:01 | KBBL | 0.00 | 0.00 |
| 10:01:02 | BINF | 0.00 | 0.00 |
| 10:01:03 | CZYS | 0.00 | 0.00 |
| 10:01:04 | QWPR | 0.00 | 0.00 |
| 10:01:05 | AQEC | 0.00 | 0.00 |
| 10:01:06 | OCAL | 0.00 | 0.00 |
| 10:01:07 | KQKW | 0.00 | 0.00 |
| 10:01:08 | PFXS | 0.00 | 0.00 |
| 10:01:09 | VDEJ | 0.00 | 0.00 |
| 10:01:10 | NPXE | 0.00 | 0.00 |
| 10:01:11 | GNEK | 0.00 | 0.00 |
| 10:01:12 | YFGY | 0.00 | 0.00 |
| 10:01:13 | CKVY | 0.00 | 0.00 |
| 10:01:14 | VYLL | 0.00 | 0.00 |
| 10:01:15 | DWBX | 0.00 | 0.00 |
| 10:01:16 | EUAH | 0.00 | 0.00 |
| 10:01:17 | TPGV | 0.00 | 0.00 |
| 10:01:18 | OXMG | 0.00 | 0.00 |
| 10:01:19 | PRLN | 0.00 | 0.00 |
| 10:01:20 | PJIZ | 0.00 | 0.00 |
| 10:01:21 | QQTK | 0.00 | 0.00 |
| 10:01:22 | QWAD | 0.00 | 0.00 |
| 10:01:23 | ZQUS | 0.00 | 0.00 |
| 10:01:24 | IBNP | 0.00 | 0.00 |
| 10:01:25 | DSYN | 0.00 | 0.00 |
| 10:01:26 | NCEZ | 0.00 | 0.00 |
| 10:01:27 | CWXN | 0.00 | 0.00 |
| 10:01:28 | CHDV | 0.00 | 0.00 |
| 10:01:29 | BTGQ | 0.00 | 0.00 |
| 10:01:30 | NKCP | 0.00 | 0.00 |
| 10:01:31 | AAPS | 0.00 | 0.00 |
| 10:01:32 | VYBY | 0.00 | 0.00 |
| 10:01:33 | PIQW | 0.00 | 0.00 |
| 10:01:34 | XZFG | 0.00 | 0.00 |
| 10:01:35 | OQAX | 0.00 | 0.00 |
| 10:01:36 | JLMI | 0.00 | 0.00 |
| 10:01:37 | XDZI | 0.00 | 0.00 |
| 10:01:38 | UQEL | 0.00 | 0.00 |
| 10:01:39 | XKYF | 0.00 | 0.00 |
| 10:01:40 | CVCK | 0.00 | 0.00 |
| 10:01:41 | XALL | 0.00 | 0.00 |
| 10:01:42 | GBFW | 0.00 | 0.00 |
| 10:01:43 | AUJX | 0.00 | 0.00 |
| 10:01:44 | SUJY | 0.00 | 0.00 |
| 10:01:45 | QGDA | 0.00 | 0.00 |
| 10:01:46 | XTXB | 0.00 | 0.00 |
| 10:01:47 | NLVT | 0.00 | 0.00 |
| 10:01:48 | VGRD | 0.00 | 0.00 |
| 10:01:49 | DIIG | 0.00 | 0.00 |
| 10:01:50 | VMMH | 0.00 | 0.00 |
| 10:01:51 | BKVN | 0.00 | 0.00 |
| 10:01:52 | XPOG | 0.00 | 0.00 |
| 10:01:53 | RUVC | 0.00 | 0.00 |
| 10:01:54 | RVIG | 0.00 | 0.00 |
| 10:01:55 | DXES | 0.00 | 0.00 |
| 10:01:56 | GPDT | 0.00 | 0.00 |
| 10:01:57 | CQDG | 0.00 | 0.00 |
| 10:01:58 | TNVY | 0.00 | 0.00 |
| 10:01:59 | LXGY | 0.00 | 0.00 |
| 10:02:00 | DNJG | 0.00 | 0.00 |
| 10:02:01 | PCWP | 0.00 | 0.00 |
| 10:02:02 | PHGQ | 0.00 | 0.00 |
| 10:02:03 | VVVF | 0.00 | 0.00 |
| 10:02:04 | BWPV | 0.00 | 0.00 |
| 10:02:05 | NNCG | 0.00 | 0.00 |
| 10:02:06 | ZAHL | 0.00 | 0.00 |
| 10:02:07 | MLUE | 0.00 | 0.00 |
| 10:02:08 | YYFV | 0.00 | 0.00 |
| 10:02:09 | PDUW | 0.00 | 0.00 |
| 10:02:10 | EHPN | 0.00 | 0.00 |
| 10:02:11 | XVWH | 0.00 | 0.00 |
| 10:02:12 | CVVB | 0.00 | 0.00 |
| 10:02:13 | HRYZ | 0.00 | 0.00 |
| 10:02:14 | EBJC | 0.00 | 0.00 |
| 10:02:15 | ZAJD | 0.00 | 0.00 |
| 10:02:16 | ACGO | 0.00 | 0.00 |
| 10:02:17 | IKLK | 0.00 | 0.00 |
| 10:02:18 | VLNU | 0.00 | 0.00 |
| 10:02:19 | VOZT | 0.00 | 0.00 |
| 10:02:20 | GIIU | 0.00 | 0.00 |
| 10:02:21 | LYLE | 0.00 | 0.00 |
| 10:02:22 | KVBH | 0.00 | 0.00 |
| 10:02:23 | BCVD | 0.00 | 0.00 |
| 10:02:24 | CEIT | 0.00 | 0.00 |
| 10:02:25 | KXCJ | 0.00 | 0.00 |
| 10:02:26 | UTWL | 0.00 | 0.00 |
| 10:02:27 | DOJC | 0.00 | 0.00 |
| 10:02:28 | ZIBU | 0.00 | 0.00 |
| 10:02:29 | GQJB | 0.00 | 0.00 |
| 10:02:30 | ZTOI | 0.00 | 0.00 |
| 10:02:31 | NKJG | 0.00 | 0.00 |
| 10:02:32 | SFVD | 0.00 | 0.00 |
| 10:02:33 | OILY | 0.00 | 0.00 |
| 10:02:34 | XGEA | 0.00 | 0.00 |
| 10:02:35 | VNZS | 0.00 | 0.00 |
| 10:02:36 | VHGZ | 0.00 | 0.00 |
| 10:02:37 | NDCY | 0.00 | 0.00 |
| 10:02:38 | PILJ | 0.00 | 0.00 |
| 10:02:39 | NZKR | 0.00 | 0.00 |
| 10:02:40 | RNPI | 0.00 | 0.00 |
| 10:02:41 | ZVNS | 0.00 | 0.00 |
| 10:02:42 | LIYL | 0.00 | 0.00 |
| 10:02:43 | FREX | 0.00 | 0.00 |
| 10:02:44 | WPQC | 0.00 | 0.00 |
| 10:02:45 | FKYG | 0.00 | 0.00 |
| 10:02:46 | UIDN | 0.00 | 0.00 |
| 10:02:47 | OSHR | 0.00 | 0.00 |
| 10:02:48 | ROTR | 0.00 | 0.00 |
| 10:02:49 | HNDV | 0.00 | 0.00 |
| 10:02:50 | EUTQ | 0.00 | 0.00 |
| 10:02:51 | EAXN | 0.00 | 0.00 |
| 10:02:52 | PTEQ | 0.00 | 0.00 |
| 10:02:53 | VNYF | 0.00 | 0.00 |
| 10:02:54 | QUHK | 0.00 | 0.00 |
| 10:02:55 | CUXJ | 0.00 | 0.00 |
| 10:02:56 | SGXP | 0.00 | 0.00 |
| 10:02:57 | RLTG | 0.00 | 0.00 |
| 10:02:58 | QOQS | 0.00 | 0.00 |
| 10:02:59 | ZWMN | 0.00 | 0.00 |
| 10:03:00 | MVYG | 0.00 | 0.00 |
| 10:03:01 | YIFS | 0.00 | 0.00 |
| 10:03:02 | XCLW | 0.00 | 0.00 |
| 10:03:03 | SNHU | 0.00 | 0.00 |
| 10:03:04 | RJQZ | 0.00 | 0.00 |
| 10:03:05 | AJIB | 0.00 | 0.00 |
| 10:03:06 | KYGV | 0.00 | 0.00 |
| 10:03:07 | TMRV | 0.00 | 0.00 |
| 10:03:08 | GYZG | 0.00 | 0.00 |
| 10:03:09 | ROJJ | 0.00 | 0.00 |
